               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076019,            0.026779,                   0,             0.17967,             0.77778,             0.65535,             0.33654,            0.016821,             0.01487,                   0,            0.070857,           0.0032381,           0.0032381
                   1,            0.055019,            0.021468,                   0,             0.18221,             0.33333,             0.26405,            0.081197,            0.020328,            0.010914,                   0,            0.039928,            0.005642,            0.005642
                   2,            0.050065,            0.018989,                   0,             0.42895,             0.66667,             0.57402,             0.28516,            0.018321,           0.0080656,                   0,           0.0080555,           0.0071031,           0.0071031
                   3,             0.04204,            0.016913,                   0,             0.55292,             0.77778,               0.702,             0.39473,            0.013563,           0.0069712,                   0,           0.0057571,           0.0057571,           0.0057571
                   4,            0.038587,             0.01565,                   0,             0.88218,             0.83521,             0.96278,             0.48227,            0.011638,           0.0053111,                   0,           0.0057571,           0.0057571,           0.0057571
                   5,             0.03721,            0.014357,                   0,             0.79496,             0.88889,             0.93915,             0.40241,            0.012508,           0.0048844,                   0,           0.0043429,           0.0043429,           0.0043429
                   6,            0.032876,            0.014597,                   0,                   1,             0.97007,               0.995,              0.5867,            0.010312,           0.0049434,                   0,           0.0029286,           0.0029286,           0.0029286
